Date,Country/Region,confirmed,recovered,death,Active,New confirmed,New death,New recovered,New deaths
1/1/21,India,10286709,9883461,148994,254254,0,148994,0,0
1/10/21,India,10466595,10092909,151160,222526,10466595,151160,10092909,0
1/11/21,India,10479179,10111294,151327,216558,10479179,151327,10111294,0
1/12/21,India,10495147,10129111,151529,214507,10495147,151529,10129111,0
1/13/21,India,10512093,10146763,151727,213603,10512093,151727,10146763,0
1/14/21,India,10527683,10162738,151918,213027,10527683,151918,10162738,0
1/15/21,India,10542841,10179715,152093,211033,10542841,152093,10179715,0
1/16/21,India,10557985,10196885,152274,208826,10557985,152274,10196885,0
1/17/21,India,10571773,10211342,152419,208012,10571773,152419,10211342,0
1/18/21,India,10581823,10228753,152556,200514,10581823,152556,10228753,0
1/19/21,India,10595639,10245741,152718,197180,10595639,152718,10245741,0
1/2/21,India,10323965,9927310,149435,247220,10323965,149435,9927310,0
1/20/21,India,10610883,10265706,152869,192308,10610883,152869,10265706,0
1/21/21,India,10625428,10283702,153032,188694,10625428,153032,10283702,0
1/22/20,India,0,0,0,0,0,0,0,0
1/22/21,India,10639684,10300838,153184,185662,10639684,153184,10300838,0
1/23/20,India,0,0,0,0,0,0,0,0
1/23/21,India,10654533,10316786,153339,184408,10654533,153339,10316786,0
1/24/20,India,0,0,0,0,0,0,0,0
1/24/21,India,10667736,10330084,153470,184182,10667736,153470,10330084,0
1/25/20,India,0,0,0,0,0,0,0,0
1/25/21,India,10676838,10345985,153587,177266,10676838,153587,10345985,0
1/26/20,India,0,0,0,0,0,0,0,0
1/26/21,India,10689527,10359305,153724,176498,10689527,153724,10359305,0
1/27/20,India,0,0,0,0,0,0,0,0
1/27/21,India,10701193,10373606,153847,173740,10701193,153847,10373606,0
1/28/20,India,0,0,0,0,0,0,0,0
1/28/21,India,10720048,10394352,154010,171686,10720048,154010,10394352,0
1/29/20,India,0,0,0,0,0,0,0,0
1/29/21,India,10733130,10409146,154147,169837,10733130,154147,10409146,0
1/3/21,India,10340469,9946867,149649,243953,10340469,149649,9946867,0
1/30/20,India,1,0,0,1,1,0,0,0
1/30/21,India,10746174,10423109,154274,168791,10746174,154274,10423109,0
1/31/20,India,1,0,0,1,1,0,0,0
1/31/21,India,10757610,10434983,154392,168235,10757610,154392,10434983,0
1/4/21,India,10356844,9975958,149850,231036,10356844,149850,9975958,0
1/5/21,India,10374932,9997272,150114,227546,10374932,150114,9997272,0
1/6/21,India,10395278,10016859,150336,228083,10395278,150336,10016859,0
1/7/21,India,10413417,10037398,150570,225449,10413417,150570,10037398,0
1/8/21,India,10413417,10037398,150570,225449,10413417,150570,10037398,0
1/9/21,India,10450284,10075950,150999,223335,10450284,150999,10075950,0
10/1/20,India,6394068,5352078,99773,942217,6394068,99773,5352078,0
10/10/20,India,7053806,6077976,108334,867496,7053806,108334,6077976,0
10/11/20,India,7120538,6149535,109150,861853,7120538,109150,6149535,0
10/12/20,India,7175880,6227295,109856,838729,7175880,109856,6227295,0
10/13/20,India,7239389,6301927,110586,826876,7239389,110586,6301927,0
10/14/20,India,7307097,6383441,111266,812390,7307097,111266,6383441,0
10/15/20,India,7370468,6453779,112161,804528,7370468,112161,6453779,0
10/16/20,India,7432680,6524595,112998,795087,7432680,112998,6524595,0
10/17/20,India,7494551,6597209,114031,783311,7494551,114031,6597209,0
10/18/20,India,7550273,6663608,114610,772055,7550273,114610,6663608,0
10/19/20,India,7597063,6733328,115197,748538,7597063,115197,6733328,0
10/2/20,India,6473544,5427706,100842,944996,6473544,100842,5427706,0
10/20/20,India,7651107,6795103,115914,740090,7651107,115914,6795103,0
10/21/20,India,7706946,6874518,116616,715812,7706946,116616,6874518,0
10/22/20,India,7761312,6948497,117306,695509,7761312,117306,6948497,0
10/23/20,India,7814682,7016046,117956,680680,7814682,117956,7016046,0
10/24/20,India,7864811,7078123,118534,668154,7864811,118534,7078123,0
10/25/20,India,7909959,7137228,119014,653717,7909959,119014,7137228,0
10/26/20,India,7946429,7201070,119502,625857,7946429,119502,7201070,0
10/27/20,India,7990322,7259509,120010,610803,7990322,120010,7259509,0
10/28/20,India,8040203,7315989,120527,603687,8040203,120527,7315989,0
10/29/20,India,8088851,7373375,121090,594386,8088851,121090,7373375,0
10/3/20,India,6549373,5509966,101782,937625,6549373,101782,5509966,0
10/30/20,India,8137119,7432829,121641,582649,8137119,121641,7432829,0
10/31/20,India,8184082,7491513,122111,570458,8184082,122111,7491513,0
10/4/20,India,6623815,5586703,102685,934427,6623815,102685,5586703,0
10/5/20,India,6685082,5662490,103569,919023,6685082,103569,5662490,0
10/6/20,India,6757131,5744693,104555,907883,6757131,104555,5744693,0
10/7/20,India,6835655,5827704,105526,902425,6835655,105526,5827704,0
10/8/20,India,6906151,5906069,106490,893592,6906151,106490,5906069,0
