Country/Region,confirmed,recovered,death,Active,New confirmed,New death,New recovered,New deaths,Recovery rate(per 100),Mortality rate(per 100)
Afghanistan,38544,31048,1421,6075,38544,1421,31048,0,80.55,3.69
Albania,10704,6284,322,4098,10704,322,6284,0,58.71,3.01
Algeria,47216,33379,1581,12256,47216,1581,33379,0,70.69,3.35
Andorra,1301,938,53,310,1301,53,938,0,72.1,4.07
Angola,3092,1245,126,1721,3092,126,1245,0,40.27,4.08
Antigua and Barbuda,95,91,3,1,95,3,91,0,95.79,3.16
Argentina,512293,382490,10658,119145,512293,10658,382490,0,74.66,2.08
Armenia,45152,41023,905,3224,45152,905,41023,0,90.86,2.0
Australia,26524,19869,788,5867,26524,788,19869,0,74.91,2.97
Austria,30583,25764,747,4072,30583,747,25764,0,84.24,2.44
Azerbaijan,37732,35119,555,2058,37732,555,35119,0,93.07,1.47
Bahamas,2721,1183,63,1475,2721,63,1183,0,43.48,2.32
Bahrain,57450,51819,203,5428,57450,203,51819,0,90.2,0.35
Bangladesh,331078,230804,4593,95681,331078,4593,230804,0,69.71,1.39
Barbados,180,156,7,17,180,7,156,0,86.67,3.89
Belarus,73402,71999,726,677,73402,726,71999,0,98.09,0.99
Belgium,89691,18635,9917,61139,89691,9917,18635,0,20.78,11.06
Belize,1365,326,18,1021,1365,18,326,0,23.88,1.32
Benin,2242,1793,40,409,2242,40,1793,0,79.97,1.78
Bhutan,234,155,0,79,234,0,155,0,66.24,0.0
Bolivia,123345,77216,7146,38983,123345,7146,77216,0,62.6,5.79
Bosnia and Herzegovina,22258,15208,675,6375,22258,675,15208,0,68.33,3.03
Botswana,2126,493,9,1624,2126,9,493,0,23.19,0.42
Brazil,4197889,3611632,128539,457718,4197889,128539,3611632,0,86.03,3.06
Brunei,145,139,3,3,145,3,139,0,95.86,2.07
Bulgaria,17435,12474,702,4259,17435,702,12474,0,71.55,4.03
Burkina Faso,1476,1118,56,302,1476,56,1118,0,75.75,3.79
Burma,2009,553,14,1442,2009,14,553,0,27.53,0.7
Burundi,466,374,1,91,466,1,374,0,80.26,0.21
Cabo Verde,4473,3915,43,515,4473,43,3915,0,87.53,0.96
Cambodia,274,273,0,1,274,0,273,0,99.64,0.0
Cameroon,19848,18448,415,985,19848,415,18448,0,92.95,2.09
Canada,136135,0,9223,126912,136135,9223,0,0,0.0,6.77
Central African Republic,4736,1825,62,2849,4736,62,1825,0,38.53,1.31
Chad,1048,931,79,38,1048,79,931,0,88.84,7.54
Chile,427027,399555,11702,15770,427027,11702,399555,0,93.57,2.74
China,90100,83348,4733,2019,90100,4733,83348,0,92.51,5.25
Colombia,686851,552885,22053,111913,686851,22053,552885,0,80.5,3.21
Comoros,456,415,7,34,456,7,415,0,91.01,1.54
Congo (Brazzaville),4891,3887,114,890,4891,114,3887,0,79.47,2.33
Congo (Kinshasa),10324,9523,260,541,10324,260,9523,0,92.24,2.52
Costa Rica,51224,19544,543,31137,51224,543,19544,0,38.15,1.06
Cote d'Ivoire,18815,17770,119,926,18815,119,17770,0,94.45,0.63
Croatia,12626,9833,206,2587,12626,206,9833,0,77.88,1.63
Cuba,4459,3727,104,628,4459,104,3727,0,83.58,2.33
Cyprus,1514,1237,22,255,1514,22,1237,0,81.7,1.45
Czechia,31036,20374,444,10218,31036,444,20374,0,65.65,1.43
Denmark,19036,16414,628,1994,19036,628,16414,0,86.23,3.3
Djibouti,5391,5327,61,3,5391,61,5327,0,98.81,1.13
Dominica,22,18,0,4,22,0,18,0,81.82,0.0
Dominican Republic,100937,74305,1914,24718,100937,1914,74305,0,73.62,1.9
Ecuador,112166,91242,10701,10223,112166,10701,91242,0,81.35,9.54
Egypt,100403,80689,5577,14137,100403,5577,80689,0,80.37,5.55
El Salvador,26602,16786,770,9046,26602,770,16786,0,63.1,2.89
Equatorial Guinea,4990,4479,83,428,4990,83,4479,0,89.76,1.66
Eritrea,341,295,0,46,341,0,295,0,86.51,0.0
Estonia,2585,2213,64,308,2585,64,2213,0,85.61,2.48
Eswatini,4936,4077,97,762,4936,97,4077,0,82.6,1.97
Ethiopia,61700,23054,966,37680,61700,966,23054,0,37.36,1.57
Fiji,32,24,2,6,32,2,24,0,75.0,6.25
Finland,8430,7500,337,593,8430,337,7500,0,88.97,4.0
France,384566,89242,30805,264519,384566,30805,89242,0,23.21,8.01
Gabon,8621,7618,53,950,8621,53,7618,0,88.37,0.61
Gambia,3293,1460,99,1734,3293,99,1460,0,44.34,3.01
Georgia,1773,1325,19,429,1773,19,1325,0,74.73,1.07
Germany,256433,228784,9342,18307,256433,9342,228784,0,89.22,3.64
Ghana,45313,44188,283,842,45313,283,44188,0,97.52,0.62
Greece,12080,7262,293,4525,12080,293,7262,0,60.12,2.43
Grenada,24,24,0,0,24,0,24,0,100.0,0.0
Guatemala,79622,68308,2897,8417,79622,2897,68308,0,85.79,3.64
Guinea,9885,9068,63,754,9885,63,9068,0,91.73,0.64
Guinea-Bissau,2245,1127,38,1080,2245,38,1127,0,50.2,1.69
Guyana,1703,1045,48,610,1703,48,1045,0,61.36,2.82
Haiti,8362,5991,214,2157,8362,214,5991,0,71.65,2.56
Holy See,12,12,0,0,12,0,12,0,100.0,0.0
Honduras,65597,15064,2044,48489,65597,2044,15064,0,22.96,3.12
Hungary,9715,3984,628,5103,9715,628,3984,0,41.01,6.46
Iceland,2153,2067,10,76,2153,10,2067,0,96.01,0.46
India,4465863,3471783,75062,919018,4465863,75062,3471783,0,77.74,1.68
Indonesia,203342,145200,8336,49806,203342,8336,145200,0,71.41,4.1
Iran,393425,339111,22669,31645,393425,22669,339111,0,86.19,5.76
Iraq,273821,209993,7732,56096,273821,7732,209993,0,76.69,2.82
Ireland,30164,23364,1781,5019,30164,1781,23364,0,77.46,5.9
Israel,142190,108116,1089,32985,142190,1089,108116,0,76.04,0.77
Italy,281583,211272,35577,34734,281583,35577,211272,0,75.03,12.63
Jamaica,3437,1019,38,2380,3437,38,1019,0,29.65,1.11
Japan,73264,63734,1412,8118,73264,1412,63734,0,86.99,1.93
Jordan,2659,1919,19,721,2659,19,1919,0,72.17,0.71
Kazakhstan,134726,106424,1950,26352,134726,1950,106424,0,78.99,1.45
Kenya,35460,21557,607,13296,35460,607,21557,0,60.79,1.71
"Korea, South",21743,17360,346,4037,21743,346,17360,0,79.84,1.59
Kosovo,14377,10926,574,2877,14377,574,10926,0,76.0,3.99
Kuwait,92082,82222,552,9308,92082,552,82222,0,89.29,0.6
Kyrgyzstan,44613,40336,1061,3216,44613,1061,40336,0,90.41,2.38
Laos,22,21,0,1,22,0,21,0,95.45,0.0
Latvia,1443,1234,35,174,1443,35,1234,0,85.52,2.43
Lebanon,21877,7024,212,14641,21877,212,7024,0,32.11,0.97
Lesotho,1164,528,31,605,1164,31,528,0,45.36,2.66
Liberia,1313,1194,82,37,1313,82,1194,0,90.94,6.25
Libya,20462,2329,324,17809,20462,324,2329,0,11.38,1.58
Liechtenstein,108,105,1,2,108,1,105,0,97.22,0.93
Lithuania,3158,2194,69,895,3158,69,2194,0,69.47,2.18
Luxembourg,7023,6292,124,607,7023,124,6292,0,89.59,1.77
Madagascar,15520,14243,206,1071,15520,206,14243,0,91.77,1.33
Malawi,5653,3630,176,1847,5653,176,3630,0,64.21,3.11
Malaysia,9583,9143,128,312,9583,128,9143,0,95.41,1.34
Maldives,8834,6288,31,2515,8834,31,6288,0,71.18,0.35
Mali,2898,2267,128,503,2898,128,2267,0,78.23,4.42
Malta,2162,1760,14,388,2162,14,1760,0,81.41,0.65
Marshall Islands,0,0,0,0,0,0,0,0,0.0,0.0
Mauritania,7191,6701,161,329,7191,161,6701,0,93.19,2.24
Mauritius,361,335,10,16,361,10,335,0,92.8,2.77
Mexico,647321,538514,69049,39758,647321,69049,538514,0,83.19,10.67
Micronesia,0,0,0,0,0,0,0,0,0.0,0.0
Moldova,41144,28962,1096,11086,41144,1096,28962,0,70.39,2.66
Monaco,161,107,1,53,161,1,107,0,66.46,0.62
Mongolia,310,298,0,12,310,0,298,0,96.13,0.0
Montenegro,6094,4350,114,1630,6094,114,4350,0,71.38,1.87
Morocco,77878,59723,1453,16702,77878,1453,59723,0,76.69,1.87
Mozambique,4764,0,28,4736,4764,28,0,0,0.0,0.59
Namibia,9108,4640,93,4375,9108,93,4640,0,50.94,1.02
Nepal,49219,33882,312,15025,49219,312,33882,0,68.84,0.63
Netherlands,81085,1742,6281,73062,81085,6281,1742,0,2.15,7.75
New Zealand,1792,1648,24,120,1792,24,1648,0,91.96,1.34
Nicaragua,4818,2913,144,1761,4818,144,2913,0,60.46,2.99
Niger,1178,1099,69,10,1178,69,1099,0,93.29,5.86
Nigeria,55632,43610,1070,10952,55632,1070,43610,0,78.39,1.92
North Macedonia,15293,12754,634,1905,15293,634,12754,0,83.4,4.15
Norway,11746,9348,264,2134,11746,264,9348,0,79.58,2.25
Oman,87939,83115,751,4073,87939,751,83115,0,94.51,0.85
Pakistan,300030,287658,6365,6007,300030,6365,287658,0,95.88,2.12
Panama,99042,71419,2116,25507,99042,2116,71419,0,72.11,2.14
