Date,Country/Region,confirmed,recovered,death,Active,New confirmed,New death,New recovered,New deaths
1/1/21,Afghanistan,51526,41727,2191,7608,0,2191,0,0
1/1/21,Albania,58316,33634,1181,23501,0,1181,0,0
1/1/21,Algeria,99897,67395,2762,29740,0,2762,0,0
1/1/21,Andorra,8117,7463,84,570,0,84,0,0
1/1/21,Angola,17568,11146,405,6017,0,405,0,0
1/1/21,Antigua and Barbuda,159,148,5,6,0,5,0,0
1/1/21,Argentina,1629594,1426676,43319,159599,0,43319,0,0
1/1/21,Armenia,159738,143355,2828,13555,0,2828,0,0
1/1/21,Australia,28460,22573,909,4978,0,909,0,0
1/1/21,Austria,362911,334901,6261,21749,0,6261,0,0
1/1/21,Azerbaijan,219041,188280,2670,28091,0,2670,0,0
1/1/21,Bahamas,7887,6239,171,1477,0,171,0,0
1/1/21,Bahrain,92913,90369,352,2192,0,352,0,0
1/1/21,Bangladesh,514500,458656,7576,48268,0,7576,0,0
1/1/21,Barbados,395,319,7,69,0,7,0,0
1/1/21,Belarus,196223,178102,1433,16688,0,1433,0,0
1/1/21,Belgium,648289,0,19581,628708,0,19581,0,0
1/1/21,Belize,10776,9795,248,733,0,248,0,0
1/1/21,Benin,3251,3061,44,146,0,44,0,0
1/1/21,Bhutan,689,449,0,240,0,0,0,0
1/1/21,Bolivia,160985,132510,9175,19300,0,9175,0,0
1/1/21,Bosnia and Herzegovina,112143,77682,4086,30375,0,4086,0,0
1/1/21,Botswana,14805,12136,42,2627,0,42,0,0
1/1/21,Brazil,7700578,6855372,195411,649795,0,195411,0,0
1/1/21,Brunei,157,149,3,5,0,3,0,0
1/1/21,Bulgaria,202540,120343,7604,74593,0,7604,0,0
1/1/21,Burkina Faso,6828,5152,85,1591,0,85,0,0
1/1/21,Burma,125042,107777,2697,14568,0,2697,0,0
1/1/21,Burundi,822,687,2,133,0,2,0,0
1/1/21,Cabo Verde,11872,11569,113,190,0,113,0,0
1/1/21,Cambodia,379,362,0,17,0,0,0,0
1/1/21,Cameroon,26848,24892,448,1508,0,448,0,0
1/1/21,Canada,585400,0,15806,569594,0,15806,0,0
1/1/21,Central African Republic,4963,1924,63,2976,0,63,0,0
1/1/21,Chad,2141,1704,104,333,0,104,0,0
1/1/21,Chile,612564,579203,16660,16701,0,16660,0,0
1/1/21,China,96023,88394,4782,2847,0,4782,0,0
1/1/21,Colombia,1654880,1520548,43495,90837,0,43495,0,0
1/1/21,Comoros,823,705,10,108,0,10,0,0
1/1/21,Congo (Brazzaville),7107,5846,108,1153,0,108,0,0
1/1/21,Congo (Kinshasa),17849,14701,591,2557,0,591,0,0
1/1/21,Costa Rica,169321,131923,2185,35213,0,2185,0,0
1/1/21,Cote d'Ivoire,22563,21981,138,444,0,138,0,0
1/1/21,Croatia,212007,199820,3961,8226,0,3961,0,0
1/1/21,Cuba,12056,10345,146,1565,0,146,0,0
1/1/21,Cyprus,22818,2057,127,20634,0,127,0,0
1/1/21,Czechia,732022,600073,11711,120238,0,11711,0,0
1/1/21,Denmark,166567,131390,1322,33855,0,1322,0,0
1/1/21,Djibouti,5840,5735,61,44,0,61,0,0
1/1/21,Dominica,88,83,0,5,0,0,0,0
1/1/21,Dominican Republic,172218,131543,2416,38259,0,2416,0,0
1/1/21,Ecuador,213378,184507,14051,14820,0,14051,0,0
1/1/21,Egypt,139471,112826,7687,18958,0,7687,0,0
1/1/21,El Salvador,45960,45960,1327,-1327,0,1327,0,0
1/1/21,Equatorial Guinea,5277,5136,86,55,0,86,0,0
1/1/21,Eritrea,1320,643,3,674,0,3,0,0
1/1/21,Estonia,28406,19027,234,9145,0,234,0,0
1/1/21,Eswatini,9482,7073,216,2193,0,216,0,0
1/1/21,Ethiopia,124652,112251,1937,10464,0,1937,0,0
1/1/21,Fiji,49,44,2,3,0,2,0,0
1/1/21,Finland,36403,29000,561,6842,0,561,0,0
1/1/21,France,2697014,200822,64892,2431300,0,64892,0,0
1/1/21,Gabon,9571,9388,64,119,0,64,0,0
1/1/21,Gambia,3800,3669,124,7,0,124,0,0
1/1/21,Georgia,228410,214992,2528,10890,0,2528,0,0
1/1/21,Germany,1762637,1388744,34145,339748,0,34145,0,0
1/1/21,Ghana,54930,53758,335,837,0,335,0,0
1/1/21,Greece,139447,93764,4881,40802,0,4881,0,0
1/1/21,Grenada,127,107,0,20,0,0,0,0
1/1/21,Guatemala,138236,126606,4820,6810,0,4820,0,0
1/1/21,Guinea,13738,13153,81,504,0,81,0,0
